ID_prueba,Requisito_RF,Modulo,Descripcion,Precondicion,Resultado_esperado,Tipo,Estado
TC-DASH-001,RF administración / S-07,AdminDashboard,Mock HTTP 500 en fetchProducts — error toast Reintentar y recuperación,Dashboard con injectFakeAdminAuth; GET /rest/v1/productos falla luego 200 tras Reintentar,"Pantalla admin-loading con mensaje de error; botón Reintentar; tras reload h1 Dashboard visible",E2E automatizado,Pasado
TC-DASH-002,RF administración / S-07,AdminDashboard,Mock HTTP 500 en fetchRecentAudit — mensaje en sección auditoría,Dashboard con mocks OK salvo GET auditoria 500,"Texto 'No se pudo cargar el historial de actividad.' visible; no 'Sin actividad registrada aún'",E2E automatizado,Pasado
TC-DASH-003,RF administración / WCAG 4.1.2,AdminDashboard,Navegación por teclado en filas de pedidos recientes,Dashboard con 1 pedido moqueado,"Foco en tr.dash-order-row; Enter abre modal; Escape cierra; Space vuelve a abrir; Escape cierra",E2E automatizado,Pasado
TC-DASH-004,RF administración / S-07,AdminDashboard,KPIs y filas de auditoría coherentes con mocks REST,2 productos 2 pedidos 2 usuarios 1 fila auditoría,"KPI Productos/Pedidos/Usuarios = 2; tabla auditoría con celda crear y nombre producto",E2E automatizado,Pasado
TC-DASH-005,RF administración / S-07,AdminDashboard,Copy de vacío sin pedidos ni auditoría,Pedidos y auditoría arrays vacíos,"Textos 'No hay pedidos aún' y 'Sin actividad registrada aún'; sin filas dash-order-row",E2E automatizado,Pasado
TC-PROD-001,RF productos / IN-13,AdminProducts,Código duplicado bloqueado en modo Nuevo producto,Mock de productoCodigos con CV-SEED-1 activo,"Toast 'El código ""CV-SEED-1"" ya existe en otro producto'; RPC no se llama",E2E automatizado,Pasado
TC-PROD-002,RF productos / IN-13,AdminProducts,Código generado (BASE-1) colisiona al crear variante,Mock con CV-SEED-1 activo y código base CV-SEED,"Toast 'El código generado ""CV-SEED-1"" ya existe. Cambia el código base.'",E2E automatizado,Pasado
TC-PROD-003,RF productos / IN-13,AdminProducts,BD devuelve error 23505 (unicidad) en edición atómica,RPC update_product_atomic retorna 409 code=23505,"Toast 'Código duplicado: usa un código único para este producto'",E2E automatizado,Pasado
TC-PROD-004,RF productos / IN-14,AdminProducts,Guardia comercial tipo inválido (cv_guard_producto_tipo),RPC retorna error cv_guard_producto_tipo,"Toast con mensaje de tipo de calzado inválido para la categoría",E2E automatizado,Pasado
TC-PROD-005,RF productos / IN-14,AdminProducts,Guardia comercial finanzas (cv_guard_producto_finanzas),RPC retorna error cv_guard_producto_finanzas,"Toast con mensaje de rango de precio fuera de márgenes",E2E automatizado,Pasado
TC-PROD-006,RF productos / IN-13,AdminProducts,Campo campaña viaja en payload de edición (update_product_atomic),Editar producto con campaña outlet seleccionada,"RPC payload contiene product.campana = 'outlet'",E2E automatizado,Pasado
TC-PROD-007,RF productos / IN-13,AdminProducts,Campo campaña viaja en payload de creación (create_product_variants_atomic),Crear variante con campaña cyber-wow seleccionada,"RPC payload contiene variants[0].campana = 'cyber-wow'",E2E automatizado,Pasado
TC-PROD-008,RF inventario / IN-15,AdminProducts,Stock cero bloquea guardar en modo edición,Producto con tallaStock todo en 0,"Toast 'El stock total debe ser mayor a 0'; RPC no se llama",E2E automatizado,Pasado
TC-PROD-F01,RF inventario / IN-15,AdminProducts,Filtro por categoría reduce la lista al subconjunto correcto,3 productos de categorías distintas moquedas; filtro categoryFilter = hombre,"Solo 1 fila visible; contiene 'Zapatilla Hombre'",E2E automatizado,Pasado
TC-PROD-F02,RF inventario / IN-16,AdminProducts,Filtro sin-stock muestra solo productos con stock 0,2 productos (stock=8 y stock=0); filtro stockFilter = sin-stock,"Solo 1 fila visible; corresponde al producto sin stock",E2E automatizado,Pasado
TC-PROD-F03,RF inventario / IN-15,AdminProducts,Búsqueda por texto filtra por nombre del producto,3 productos con nombres distintos; searchTerm = 'Sandalia',"2 filas visibles (Sandalia Dama y Sandalia Bebe); Zapatilla Hombre oculta",E2E automatizado,Pasado
TC-PROD-F04,RF inventario / IN-15,AdminProducts,Búsqueda + categoría aplicadas juntas reducen al único resultado,searchTerm = 'Sandalia' + categoryFilter = dama,"1 fila visible; contiene 'Sandalia Dama'",E2E automatizado,Pasado
TC-PROD-F05,RF accesibilidad / WCAG 2.1.2,AdminProducts,Tecla Escape cierra el modal de producto,Modal de creación abierto,"Modal desaparece del DOM al presionar Escape",E2E automatizado,Pasado
TC-PROD-F06,RF accesibilidad / WCAG 2.4.3,AdminProducts,Foco regresa al botón de apertura al cerrar modal con Escape,Modal de creación abierto vía botón 'Producto nuevo',"Botón 'Producto nuevo' recibe el foco tras cerrarse el modal",E2E automatizado,Pasado
TC-PERF-001,RF usuarios / IN-30,ProfilePage,Teléfono válido guarda y muestra toast de éxito,Usuario admin en /perfil; PATCH moquead retorna 204,"Toast 'Perfil actualizado'; PATCH interceptado",E2E automatizado,Pasado
TC-PERF-002,RF usuarios / IN-30,ProfilePage,Teléfono menor a 9 dígitos rechazado sin llamar API,Usuario admin en /perfil,"Toast 'El teléfono debe tener 9 dígitos.'; PATCH no se llama",E2E automatizado,Pasado
TC-PERF-003,RF usuarios / IN-30,ProfilePage,Teléfono que no empieza con 9 rechazado sin llamar API,Usuario admin en /perfil,"Toast 'El teléfono debe empezar con 9.'; PATCH no se llama",E2E automatizado,Pasado
TC-PERF-004,RF usuarios / IN-30,ProfilePage,Error RLS 42501 muestra mensaje sin código técnico,PATCH retorna 403 code=42501,"Toast 'Sin permisos para realizar esta operación.'",E2E automatizado,Pasado
TC-PERF-005,RF usuarios / IN-30,ProfilePage,Timeout de red después de 10 s muestra toast,PATCH no responde (hanging route),"Toast 'Tiempo agotado. Inténtalo de nuevo o revisa tu conexión.'",E2E automatizado,Pasado
TC-LAYOUT-001,RF administración / A8 + WCAG 4.1.2,AdminLayout,Enlace Dashboard tiene aria-current=page en /admin,Usuario admin en /admin,"Enlace 'Dashboard' tiene aria-current=page; enlace 'Productos' no tiene aria-current",E2E automatizado,Pasado
TC-LAYOUT-002,RF administración / A8,AdminLayout,Al navegar a /admin/ventas el enlace Ventas recibe aria-current=page,Usuario admin en /admin; clic en Ventas,"Enlace 'Ventas' tiene aria-current=page; enlace 'Dashboard' no",E2E automatizado,Pasado
TC-LAYOUT-003,RF administración / A6 + WCAG 4.1.2,AdminLayout,Toggle de tema cambia el aria-label del botón al alternar,Usuario admin en /admin,"aria-label del botón después del clic es distinto al anterior e incluye 'modo claro' o 'modo oscuro'",E2E automatizado,Pasado
TC-LAYOUT-004,RF administración / A8,AdminLayout,Botón 'Ver tienda' navega a /,Usuario admin en /admin,"URL cambia a /",E2E automatizado,Pasado
TC-LAYOUT-005,RF administración / A4,AdminLayout,Botón 'Cerrar sesión' muestra toast de confirmación,Usuario admin en /admin; clic en Cerrar sesión,"Toast 'Sesión cerrada' visible",E2E automatizado,Pasado
TC-LAYOUT-006,RF administración / A6 + WCAG 4.1.2,AdminLayout,Colapsar sidebar añade clase collapsed y aria-expanded=false,Sidebar expandido (localStorage=false); clic en botón 'Colapsar menú',"#admin-sidebar tiene clase collapsed; botón tiene aria-expanded=false y label 'Expandir menú'",E2E automatizado,Pasado
TC-LAYOUT-007,RF administración / A6,AdminLayout,Estado colapsado persiste en localStorage tras recargar,Sidebar colapsado; recarga de página,"#admin-sidebar sigue con clase collapsed; botón 'Expandir menú' visible",E2E automatizado,Pasado
TC-PROD-DEL01,RF productos / IN-13,AdminProducts,Aceptar confirm elimina el producto y deja la lista vacía,1 producto moqueado; dialog aceptado,"3 DELETE (productos/productoCodigos/productoFinanzas); toast 'producto eliminado'; visible 'No hay productos. Crea el primero.'; el producto borrado no aparece en la tabla",E2E automatizado,Pasado
TC-PROD-DEL02,RF productos / IN-13,AdminProducts,Rechazar confirm no llama DELETE y el producto permanece,1 producto moqueado; dialog rechazado,"0 DELETE llamados; producto sigue visible en la tabla",E2E automatizado,Pasado
TC-SALE-001,RF ventas / IN-20 + IN-22,AdminSales,Flujo completo de venta — decrement_product_stock es llamado,1 producto con stock 5 (talla 41 stock=2); selección + agregar línea + registrar,"RPC decrement_product_stock interceptado; toast 'Ventas registradas'",E2E automatizado,Pasado
