Variable;Definición conceptual;Definición operacional;Dimensión;Indicador (instrumento);Trazabilidad CU-T10;Ítem;Redacción del ítem (reactivo);Escala / niveles;Técnica;Instrumento;Momento;Validación y sustento
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);Capacidad de cuantificar y anticipar el riesgo empresarial comercial-operativo de Calzatura Vilchez mediante el IRE (0–100), como proxy de quiebre de stock, presión de ingresos y cambios de demanda (documentacion/07-modulo-ia-riesgo-empresarial.md).;"Puntuación en escala Likert 1–5 sobre percepción del personal directivo y operativo respecto a modelos predictivos, exactitud del IRE, componentes del índice e impacto operativo; aplicación preprueba (O₁) y posprueba (O₂).";D1: Modelos de predicción del riesgo empresarial;Adecuación del modelo IRE compuesto y predicción de demanda;VD-D1 ind. 1 — Tipo de modelo IRE (proxy 40/35/25 + RF demanda);1;El [método actual / sistema implementado] integra adecuadamente la predicción de demanda (IA) y los indicadores de stock e ingresos para estimar el riesgo empresarial.;"Ordinal Likert 1-5: 1=Totalmente en desacuerdo; 2=En desacuerdo; 3=Ni de acuerdo ni en desacuerdo; 4=De acuerdo; 5=Totalmente de acuerdo";Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; V de Aiken ≥ 0,70. Sustento: Ozbayoglu 2020; Barboza 2017; Altman 1968; Beaver 1966."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D1: Modelos de predicción del riesgo empresarial;Cobertura de variables operativas en el modelo;VD-D1 ind. 2 — Número de variables operativas (stock, ingresos, demanda, productos);2;El [método actual / sistema implementado] considera de forma adecuada las variables de stock, ingresos, demanda e inventario de productos.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; V de Aiken ≥ 0,70. Sustento: Kim 2020; Du Jardin 2021; Khalid 2022."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D1: Modelos de predicción del riesgo empresarial;Utilidad del horizonte de predicción configurado;VD-D1 ind. 3 — Horizonte de predicción (7, 15 o 30 días);3;El [método actual / sistema implementado] permite planificar con horizontes de predicción útiles (7, 15 o 30 días) para la gestión del riesgo.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; prueba piloto (10 % muestra). Sustento: Makridakis 2018; Fildes 2022; Choi 2018."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D1: Modelos de predicción del riesgo empresarial;Claridad de la técnica de agregación del IRE;VD-D1 ind. 4 — Técnica agregación IRE (ponderación fija + reglas);4;La forma en que el IRE combina los componentes (stock, ingresos y demanda) es adecuada para interpretar el riesgo empresarial.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; juicio de expertos. Sustento: Amba 2017; Choi 2018; documentacion/07 §2."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D1: Modelos de predicción del riesgo empresarial;Confianza en los métodos de validación del modelo;VD-D1 ind. 5 — Método validación (consistencia interna + walk-forward);5;Los métodos de validación del [método actual / sistema implementado] (consistencia interna y walk-forward) generan confianza en los resultados.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; alfa de Cronbach ≥ 0,70 (dimensión). Sustento: Paleyes 2022; Martinez-Fernandez 2022; Barboza 2017."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D1: Modelos de predicción del riesgo empresarial;Mejora percibida frente al método empírico anterior;VD-D1 ind. 6 — Comparación vs método empírico baseline (% mejora MAE);6;El [método actual / sistema implementado] mejora la estimación del riesgo empresarial respecto al método empírico utilizado anteriormente.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Comparación pre/post; alfa de Cronbach ≥ 0,70. Sustento: Fildes 2022; Makridakis 2018; Choi 2018."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D2: Exactitud y validación del IRE y modelos predictivos;Consistencia interna percibida del IRE;VD-D2 ind. 1 — Tests consistencia interna IRE (invariantes, monotonía);7;Las estimaciones del IRE son internamente consistentes (coherentes entre sus componentes y el valor global).;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; contraste con test_risk.py. Sustento: Barboza 2017; Kim 2020; Du Jardin 2021."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D2: Exactitud y validación del IRE y modelos predictivos;Aceptabilidad del error medio de pronóstico (MAE);VD-D2 ind. 2 — MAE pronóstico demanda RF vs baseline (unidades);8;El error medio de pronóstico de demanda (MAE) del [método actual / sistema implementado] es aceptable para la gestión de inventario.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de criterio con evaluate.py. Sustento: Makridakis 2018; Fildes 2022; Barboza 2017."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D2: Exactitud y validación del IRE y modelos predictivos;Aceptabilidad de la variabilidad del error (RMSE);VD-D2 ind. 3 — RMSE pronóstico demanda (unidades);9;La variabilidad del error de pronóstico (RMSE) del [método actual / sistema implementado] es aceptable para la planificación comercial.;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; V de Aiken ≥ 0,70. Sustento: Altman 1968; Beaver 1966; Khalid 2022."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D2: Exactitud y validación del IRE y modelos predictivos;Transparencia de la suma de contribuciones del IRE;VD-D2 ind. 4 — Estabilidad suma contribuciones IRE (= score mostrado);10;La suma de las contribuciones del IRE coincide con el valor mostrado en el dashboard (es estable y transparente).;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; alfa de Cronbach ≥ 0,70. Sustento: Lepenioti 2020; Melville 2004; Paleyes 2022."
Predicción del riesgo empresarial mediante el Índice de Riesgo Empresarial (IRE);— (ver ítem 1);— (ver ítem 1);D2: Exactitud y validación del IRE y modelos predictivos;Estabilidad del desempeño ante cambios en los datos;VD-D2 ind. 5 — Variación desempeño por data drift mensual (%);11;El desempeño del [método actual / sistema implementado] se mantiene estable ante cambios en los datos de ventas e inventario (poca degradación por drift).;Ordinal Likert 1–5;Encuesta estructurada;Cuestionario 24 ítems (Anexo 04);Preprueba (O₁) y posprueba (O₂);"Validez de contenido; prueba piloto. Sustento: Lepenioti 2020; Choi 2018; Khalid 2022."
