WBS_ID,Nombre_paquete,Nivel,Predecesor_WBS,Responsable,Duracion_plan_dias,Estado
1,Proyecto tesis Calzatura Vilchez,0,,COMPLETAR,180,En curso
1.1,Gestion de proyecto,1,1,COMPLETAR,30,En curso
1.2,Ingenieria de software,1,1,COMPLETAR,120,En curso
1.3,Inteligencia artificial y riesgo,1,1,COMPLETAR,90,En curso
1.4,Redaccion tesis y anexos,1,1,COMPLETAR,90,En curso
1.2.1,Requisitos y trazabilidad,2,1.2,COMPLETAR,20,En curso
1.2.2,Diseno arquitectura y datos,2,1.2.1,COMPLETAR,15,Pendiente
1.2.3,Implementacion frontend Supabase,2,1.2.2,COMPLETAR,60,En curso
1.2.4,Pruebas y calidad,2,1.2.3,COMPLETAR,25,Pendiente
1.2.5,Despliegue y operacion,2,1.2.4,COMPLETAR,10,Pendiente
1.3.1,Definicion riesgo y datos IA,2,1.1,COMPLETAR,30,En curso
1.3.2,Modelado y validacion,2,1.3.1,COMPLETAR,40,Pendiente
1.3.3,Integracion IA en web,2,1.3.2;1.2.3,COMPLETAR,20,Pendiente
