Segmento,Tipo_VPC,ID_elemento,Descripcion,Componente_sistema,Req_ID,Evidencia_repo,Articulo_Q1,DOI,Encaje,Notas
SB,Job,J-SB-01,Mantener catálogo calzado con tallas colores e imágenes,Admin productos + Cloudinary,RF-ADM-02; RF-ADM-03,documentacion/idoneidad-trazabilidad-iso25000.md,Reinartz et al. (2019) retail value chain,https://doi.org/10.1016/j.ijresmar.2018.12.002,Logrado,Nucleo idoneidad
SB,Job,J-SB-02,Controlar stock por variante sin overselling,Stock talla/color + triggers Supabase,RF-ADM-03; RF-RN-01,verify-precision-iso25000.mjs,Choi et al. (2018) Big data operations,https://doi.org/10.1111/poms.12838,Logrado,
SB,Job,J-SB-03,Registrar ventas presenciales y online unificadas,Ventas diarias + pedidos Supabase,RF-ADM-08; RF-PED-01,e2e/checkout-cod-order.spec.ts,Hagberg et al. (2016) digitalization retail,https://doi.org/10.1108/ijrdm-09-2015-0140,Logrado,
SB,Job,J-SB-04,Gestionar pedidos pagos y estados,Panel pedidos + Stripe webhook,RF-ADM-07; RF-PAG-01,e2e/checkout-stripe.spec.ts,Dai et al. (2024) e-commerce IA PYME,https://doi.org/10.1371/journal.pone.0305639,Logrado,
SB,Job,J-SB-05,Conocer rentabilidad costo y margen por producto,Finanzas producto admin,RF-ADM-06,verify-precision dominio finanzas,Amba et al. (2017) big data firm performance,https://doi.org/10.1016/j.jbusres.2016.08.009,Logrado,
SB,Job,J-SB-06,Anticipar quiebre de stock antes de perder ventas,Alertas stock + fecha quiebre,RF-IA-02; RF-IA-03,AdminPredictionsDashboard; IN-27,Fildes et al. (2019) retail forecasting,https://doi.org/10.1016/j.ijforecast.2019.06.004,Logrado,Diferenciador IA
SB,Job,J-SB-07,Monitorear riesgo comercial-operativo con indicador unico IRE,Panel IRE + ireHistorial,RF-IA-01,documentacion/07-modulo-ia-riesgo-empresarial.md,Duan et al. (2019) IA decisiones Big Data,https://doi.org/10.1016/j.ijinfomgt.2019.01.021,Logrado,Nucleo tesis
SB,Job,J-SB-08,Cumplir obligaciones legales e-commerce Peru,Paginas legales + libro reclamaciones,RF-LEG-01; RF-LEG-02; RF-LEG-03; RF-LEG-04,verify-cumplimiento-iso25000.mjs; TC-CMP-001..004,Norma Ley 29571 y 29733,,Logrado,Complemento normativo
SB,Pain,P-SB-01,Quiebre stock productos alta rotacion,Alertas + analisis ABC,RF-IA-03,IN-27; IN-34,Makridakis et al. (2018) forecasting accuracy,https://doi.org/10.1371/journal.pone.0194889,Logrado,
SB,Pain,P-SB-02,Capital inmovilizado baja rotacion,Analisis ABC + riesgo financiero panel,RF-IA-01,IN-35; ai-service,Lepenioti et al. (2020) prescriptive analytics,https://doi.org/10.1016/j.ijinfomgt.2019.04.003,Logrado,
SB,Pain,P-SB-03,Venta online con datos desactualizados,Catalogo vivo BFF + guards server-side,RF-CAT-02; RF-RN-01,verify-precision; e2e catalogo,Gutiérrez-Rodríguez et al. (2020) e-SQ fashion,https://doi.org/10.1016/j.jretconser.2020.102201,Logrado,
SB,Pain,P-SB-04,Datos dispersos ventas pedidos inventario,Supabase PostgreSQL centralizado,RF-RN-02,migraciones Supabase; formato-09,Shrestha et al. (2019) IA decisiones organizacionales,https://doi.org/10.1177/0008125619862257,Logrado,
SB,Pain,P-SB-05,Reabastecimiento sin pronostico demanda,RandomForestRegressor ai-service,RF-IA-02,ai-service/evaluate.py; backtest gate,Breiman (2001) Random forests,https://doi.org/10.1023/A:1010933404324,Logrado,
